CODIGO_SCIAN,DESCRIPCION,VERSION
000,Subsectores no especificados,2007
111,Agricultura,2007
112,Cría y explotación de animales,2007
114,"Pesca, caza y captura",2007
211,Extracción de petróleo y gas,2007
212,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas",2007
311,Industria alimentaria,2007
312,Industria de las bebidas y del tabaco,2007
313,Fabricación de insumos textiles y acabado de textiles,2007
314,"Fabricación de productos textiles, excepto prendas de vestir",2007
315,Fabricación de prendas de vestir,2007
316,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",2007
321,Industria de la madera,2007
322,Industria del papel,2007
323,Impresión e industrias conexas,2007
324,Fabricación de productos derivados del petróleo y del carbón,2007
325,Industria química,2007
326,Industria del plástico y del hule,2007
327,Fabricación de productos a base de minerales no metálicos,2007
331,Industrias metálicas básicas,2007
332,Fabricación de productos metálicos,2007
333,Fabricación de maquinaria y equipo,2007
334,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",2007
335,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",2007
336,Fabricación de equipo de transporte,2007
337,"Fabricación de muebles, colchones y persianas",2007
339,Otras industrias manufactureras,2007
