Número de registro o fila,Nombre de campo,Dato publicado,Dato nuevo,Estatus del cambio,Fecha de modificación,Observaciones del cambio
11370,VAL_USD,224981,224811,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 111 Agricultura en Colima correspondiente a 2020.
11412,VAL_USD,35916,51890,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 325 Industria química en Chiapas correspondiente a 2020.
11504,VAL_USD,24167,251724,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 000 Subsectores no especificados en Guanajuato correspondiente a 2020.
11505,VAL_USD,752036,751950,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 111 Agricultura en Guanajuato correspondiente a 2020.
11519,VAL_USD,153299,,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 324 Fabricación de productos derivados del petróleo y del carbón en Guanajuato correspondiente a 2020.
11519,ESTATUS_CIFRA,Disponible,Confidencial,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 324 Fabricación de productos derivados del petróleo y del carbón en Guanajuato correspondiente a 2020.
11558,VAL_USD,208497,251480,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 000 Subsectores no especificados en Hidalgo correspondiente a 2020.
11586,VAL_USD,796585,790207,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 111 Agricultura en Jalisco correspondiente a 2020.
11640,VAL_USD,3673152,3424556,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 111 Agricultura en Michoacán de Ocampo correspondiente a 2020.
11694,VAL_USD,171955,171333,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 111 Agricultura en Nayarit correspondiente a 2020.
11735,VAL_USD,176518,232495,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 324 Fabricación de productos derivados del petróleo y del carbón en Nuevo León correspondiente a 2020.
11747,VAL_USD,199244,518837,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 000 Subsectores no especificados en Oaxaca correspondiente a 2020.
11762,VAL_USD,210765,,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 324 Fabricación de productos derivados del petróleo y del carbón en Oaxaca correspondiente a 2020.
11762,ESTATUS_CIFRA,Disponible,Confidencial,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 324 Fabricación de productos derivados del petróleo y del carbón en Oaxaca correspondiente a 2020.
11775,VAL_USD,313691,306977,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 111 Agricultura en Puebla correspondiente a 2020.
11790,VAL_USD,196319,196944,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 325 Industria química en Puebla correspondiente a 2020.
11952,VAL_USD,111100,154857,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 325 Industria química en Tabasco correspondiente a 2020.
11963,VAL_USD,4627,124232,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 000 Subsectores no especificados en Tamaulipas correspondiente a 2020.
11978,VAL_USD,84256,,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 324 Fabricación de productos derivados del petróleo y del carbón en Tamaulipas correspondiente a 2020.
11978,ESTATUS_CIFRA,Disponible,Confidencial,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 324 Fabricación de productos derivados del petróleo y del carbón en Tamaulipas correspondiente a 2020.
11979,VAL_USD,1735138,1744998,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 325 Industria química en Tamaulipas correspondiente a 2020.
12017,VAL_USD,85138,286906,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 000 Subsectores no especificados en Veracruz de Ignacio de la Llave correspondiente a 2020.
12032,VAL_USD,138404,,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 324 Fabricación de productos derivados del petróleo y del carbón en Veracruz de Ignacio de la Llave correspondiente a 2020.
12032,ESTATUS_CIFRA,Disponible,Confidencial,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 324 Fabricación de productos derivados del petróleo y del carbón en Veracruz de Ignacio de la Llave correspondiente a 2020.
12033,VAL_USD,1287357,1305487,Cifras Preliminares.,30/09/2021,A partir del 30 de septiembre de 2021 se ajustó la información del subsector 325 Industria química en Veracruz de Ignacio de la Llave correspondiente a 2020.
11370,VAL_USD,224811,225067,Cifras Preliminares.,31/12/2021,A partir del 31 de diciembre de 2021 se ajustó la información del subsector 111 Agricultura en Colima correspondiente a 2020.
11586,VAL_USD,790207,790465,Cifras Preliminares.,31/12/2021,A partir del 31 de diciembre de 2021 se ajustó la información del subsector 111 Agricultura en Jalisco correspondiente a 2020.
11640,VAL_USD,3424556,3497190,Cifras Preliminares.,31/12/2021,A partir del 31 de diciembre de 2021 se ajustó la información del subsector 111 Agricultura en Michoacán de Ocampo correspondiente a 2020.
