,municipio,poblacion total 2020
0,Aconchi,2563
1,Agua Prieta,91929
2,Alamos,24976
3,Altar,9492
4,Arivechi,1177
5,Arizpe,2788
6,Atil,626
7,Bacadéhuachi,979
8,Bacanora,759
9,Bacerac,1221
10,Bacoachi,1475
11,Bácum,23151
12,Banámichi,1825
13,Baviácora,3191
14,Bavispe,1169
15,Benjamín Hill,4988
16,Caborca,89122
17,Cajeme,436484
18,Cananea,39451
19,Carbó,4946
20,La Colorada,1848
21,Cucurpe,863
22,Cumpas,5829
23,Divisaderos,753
24,Empalme,51431
25,Etchojoa,61309
26,Fronteras,9041
27,Granados,1009
28,Guaymas,156863
29,Hermosillo,936263
30,Huachinera,1186
31,Huásabas,888
32,Huatabampo,77682
33,Huépac,943
34,Imuris,12536
35,Magdalena,33049
36,Mazatán,1101
37,Moctezuma,5173
38,Naco,5774
39,Nácori Chico,1531
40,Nacozari de García,14369
41,Navojoa,164387
42,Nogales,264782
43,Onavas,365
44,Opodepe,2438
45,Oquitoa,496
46,Pitiquito,9122
47,Puerto Peñasco,62689
48,Quiriego,3090
49,Rayón,1496
50,Rosario,4830
51,Sahuaripa,5257
52,San Felipe de Jesús,369
53,San Javier,537
54,San Luis Río Colorado,199021
55,San Miguel de Horcasitas,10729
56,San Pedro de la Cueva,1458
57,Santa Ana,16203
58,Santa Cruz,1835
59,Sáric,2058
60,Soyopa,1368
61,Suaqui Grande,1114
62,Tepache,1178
63,Trincheras,1381
64,Tubutama,1473
65,Ures,8548
66,Villa Hidalgo,1429
67,Villa Pesqueira,1043
68,Yécora,4793
69,General Plutarco Elías Calles,13627
70,Benito Juárez,21692
71,San Ignacio Río Muerto,14279
